,store_id,item_id,wm_yr_wk,sell_price
0,CA_1,HOBBIES_1_001,11325,9.58
1,CA_1,HOBBIES_1_001,11326,9.58
2,CA_1,HOBBIES_1_001,11327,8.26
3,CA_1,HOBBIES_1_001,11328,8.26
4,CA_1,HOBBIES_1_001,11329,8.26
5,CA_1,HOBBIES_1_001,11330,8.26
6,CA_1,HOBBIES_1_001,11331,8.26
7,CA_1,HOBBIES_1_001,11332,8.26
8,CA_1,HOBBIES_1_001,11333,8.26
9,CA_1,HOBBIES_1_001,11334,8.26
10,CA_1,HOBBIES_1_001,11335,8.26
11,CA_1,HOBBIES_1_001,11336,8.26
12,CA_1,HOBBIES_1_001,11337,8.26
13,CA_1,HOBBIES_1_001,11338,8.26
14,CA_1,HOBBIES_1_001,11339,8.26
15,CA_1,HOBBIES_1_001,11340,8.26
16,CA_1,HOBBIES_1_001,11341,8.26
17,CA_1,HOBBIES_1_001,11342,8.26
18,CA_1,HOBBIES_1_001,11343,8.26
19,CA_1,HOBBIES_1_001,11344,8.26
20,CA_1,HOBBIES_1_001,11345,8.26
21,CA_1,HOBBIES_1_001,11346,8.26
22,CA_1,HOBBIES_1_001,11347,8.26
23,CA_1,HOBBIES_1_001,11348,8.26
24,CA_1,HOBBIES_1_001,11349,8.26
25,CA_1,HOBBIES_1_001,11350,8.26
26,CA_1,HOBBIES_1_001,11351,8.26
27,CA_1,HOBBIES_1_001,11352,8.26
28,CA_1,HOBBIES_1_001,11353,8.26
29,CA_1,HOBBIES_1_001,11401,8.26
30,CA_1,HOBBIES_1_001,11402,8.26
31,CA_1,HOBBIES_1_001,11403,8.26
32,CA_1,HOBBIES_1_001,11404,8.26
33,CA_1,HOBBIES_1_001,11405,8.26
34,CA_1,HOBBIES_1_001,11406,8.26
35,CA_1,HOBBIES_1_001,11407,8.26
36,CA_1,HOBBIES_1_001,11408,8.26
37,CA_1,HOBBIES_1_001,11409,8.26
38,CA_1,HOBBIES_1_001,11410,8.26
39,CA_1,HOBBIES_1_001,11411,8.26
40,CA_1,HOBBIES_1_001,11412,8.26
41,CA_1,HOBBIES_1_001,11413,8.26
42,CA_1,HOBBIES_1_001,11414,8.26
43,CA_1,HOBBIES_1_001,11415,8.26
44,CA_1,HOBBIES_1_001,11416,8.26
45,CA_1,HOBBIES_1_001,11417,8.26
46,CA_1,HOBBIES_1_001,11418,8.26
47,CA_1,HOBBIES_1_001,11419,8.26
48,CA_1,HOBBIES_1_001,11420,8.26
49,CA_1,HOBBIES_1_001,11421,8.26
50,CA_1,HOBBIES_1_001,11422,8.26
51,CA_1,HOBBIES_1_001,11423,8.26
52,CA_1,HOBBIES_1_001,11424,8.26
53,CA_1,HOBBIES_1_001,11425,8.26
54,CA_1,HOBBIES_1_001,11426,8.26
55,CA_1,HOBBIES_1_001,11427,8.26
56,CA_1,HOBBIES_1_001,11428,8.26
57,CA_1,HOBBIES_1_001,11429,8.26
58,CA_1,HOBBIES_1_001,11430,8.26
59,CA_1,HOBBIES_1_001,11431,8.26
60,CA_1,HOBBIES_1_001,11432,8.26
61,CA_1,HOBBIES_1_001,11433,8.26
62,CA_1,HOBBIES_1_001,11434,8.26
63,CA_1,HOBBIES_1_001,11435,8.26
64,CA_1,HOBBIES_1_001,11436,8.26
65,CA_1,HOBBIES_1_001,11437,8.26
66,CA_1,HOBBIES_1_001,11438,8.26
67,CA_1,HOBBIES_1_001,11439,8.26
68,CA_1,HOBBIES_1_001,11440,8.26
69,CA_1,HOBBIES_1_001,11441,8.26
70,CA_1,HOBBIES_1_001,11442,8.26
71,CA_1,HOBBIES_1_001,11443,8.26
72,CA_1,HOBBIES_1_001,11444,8.26
73,CA_1,HOBBIES_1_001,11445,8.26
74,CA_1,HOBBIES_1_001,11446,8.26
75,CA_1,HOBBIES_1_001,11447,8.26
76,CA_1,HOBBIES_1_001,11448,8.26
77,CA_1,HOBBIES_1_001,11449,8.26
78,CA_1,HOBBIES_1_001,11450,8.26
79,CA_1,HOBBIES_1_001,11451,8.26
80,CA_1,HOBBIES_1_001,11452,8.26
81,CA_1,HOBBIES_1_001,11501,8.26
82,CA_1,HOBBIES_1_001,11502,8.26
83,CA_1,HOBBIES_1_001,11503,8.26
84,CA_1,HOBBIES_1_001,11504,8.26
85,CA_1,HOBBIES_1_001,11505,8.26
86,CA_1,HOBBIES_1_001,11506,8.26
87,CA_1,HOBBIES_1_001,11507,8.26
88,CA_1,HOBBIES_1_001,11508,8.26
89,CA_1,HOBBIES_1_001,11509,8.26
90,CA_1,HOBBIES_1_001,11510,8.26
91,CA_1,HOBBIES_1_001,11511,8.26
92,CA_1,HOBBIES_1_001,11512,8.26
93,CA_1,HOBBIES_1_001,11513,8.26
94,CA_1,HOBBIES_1_001,11514,8.26
95,CA_1,HOBBIES_1_001,11515,8.26
96,CA_1,HOBBIES_1_001,11516,8.26
97,CA_1,HOBBIES_1_001,11517,8.26
98,CA_1,HOBBIES_1_001,11518,8.26
99,CA_1,HOBBIES_1_001,11519,8.26
100,CA_1,HOBBIES_1_001,11520,8.26
101,CA_1,HOBBIES_1_001,11521,8.26
102,CA_1,HOBBIES_1_001,11522,8.26
103,CA_1,HOBBIES_1_001,11523,8.26
104,CA_1,HOBBIES_1_001,11524,8.26
105,CA_1,HOBBIES_1_001,11525,8.26
106,CA_1,HOBBIES_1_001,11526,8.26
107,CA_1,HOBBIES_1_001,11527,8.26
108,CA_1,HOBBIES_1_001,11528,8.26
109,CA_1,HOBBIES_1_001,11529,8.26
110,CA_1,HOBBIES_1_001,11530,8.26
111,CA_1,HOBBIES_1_001,11531,8.26
112,CA_1,HOBBIES_1_001,11532,8.26
113,CA_1,HOBBIES_1_001,11533,8.26
114,CA_1,HOBBIES_1_001,11534,8.26
115,CA_1,HOBBIES_1_001,11535,8.26
116,CA_1,HOBBIES_1_001,11536,8.26
117,CA_1,HOBBIES_1_001,11537,8.26
118,CA_1,HOBBIES_1_001,11538,8.26
119,CA_1,HOBBIES_1_001,11539,8.26
120,CA_1,HOBBIES_1_001,11540,8.26
121,CA_1,HOBBIES_1_001,11541,8.26
122,CA_1,HOBBIES_1_001,11542,8.26
123,CA_1,HOBBIES_1_001,11543,8.26
124,CA_1,HOBBIES_1_001,11544,8.26
125,CA_1,HOBBIES_1_001,11545,8.26
126,CA_1,HOBBIES_1_001,11546,8.26
127,CA_1,HOBBIES_1_001,11547,8.26
128,CA_1,HOBBIES_1_001,11548,8.26
129,CA_1,HOBBIES_1_001,11549,8.26
130,CA_1,HOBBIES_1_001,11550,8.26
